data_type,data_subtype,data_class,data_format,data_unit,data_storage,suggested_validation
string,token,label,short text ;; title case ;; uppercase,,character,non-missing if required ;; maximum length ;; trim whitespace ;; normalize case
string,token,code,ABC123 ;; A01.1 ;; alphanumeric code,,character,allowed character pattern ;; fixed or bounded length ;; preserve leading zeros ;; code-list lookup
string,token,abbreviation,AZ ;; Inc. ;; PhD,,character,allowed-values list ;; case normalization ;; punctuation normalization
string,token,username,jlecy ;; user_1024,,character,unique where required ;; allowed character pattern ;; minimum and maximum length
string,phrase,person_name,"Jesse Lecy ;; Lecy, Jesse",,character,trim whitespace ;; normalize repeated spaces ;; flag digits or invalid punctuation ;; optional name-component parsing
string,phrase,organization_name,Urban Institute ;; Arizona State University,,character,trim whitespace ;; normalize punctuation and suffixes ;; minimum and maximum length
string,phrase,place_name,Phoenix ;; Maricopa County,,character,reference-list lookup ;; spelling normalization ;; geographic hierarchy consistency
string,phrase,title,Executive Director ;; Annual Report,,character,trim whitespace ;; maximum length ;; normalize capitalization
string,sentence,text,single sentence ;; short response ;; UTF-8 text,,character,maximum length ;; valid encoding ;; trim whitespace ;; flag embedded markup if prohibited
string,passage,long_text,paragraph ;; narrative response ;; abstract,,character,valid encoding ;; maximum length ;; preserve line breaks ;; flag control characters
string,markup,formatted_text,HTML ;; Markdown ;; XML fragment,,character,valid syntax where applicable ;; sanitize prohibited tags ;; valid encoding
string,structured,email,user@example.org,,character,email pattern ;; lowercase domain ;; trim whitespace ;; optional uniqueness
string,structured,phone,(602) 555-1234 ;; +1-602-555-1234,,character,valid phone pattern ;; country-code consistency ;; normalize extensions
string,structured,url,https://example.org ;; ftp://example.org,,character,valid URI syntax ;; allowed schemes ;; trim whitespace
string,structured,address,123 Main St ;; PO Box 100 ;; multiline address,,character,minimum component presence ;; postal-code consistency ;; normalize street suffixes
string,structured,postal_code,85001 ;; 85001-1234 ;; SW1A 1AA,,character,country-specific pattern ;; preserve leading zeros ;; geographic lookup
string,structured,geographic_code,AZ ;; US-AZ ;; 04013,,character,reference-list lookup ;; fixed length ;; preserve leading zeros ;; hierarchy consistency
string,structured,administrative_code,12-3456789 ;; EIN-12-3456789 ;; CAGE code,,character,domain-specific pattern ;; checksum where available ;; preserve punctuation and leading zeros
string,structured,classification_code,NTEE B20 ;; NAICS 541720 ;; ICD-10 A01.1,,character ;; factor,reference-list lookup ;; valid code vintage ;; parent-child hierarchy consistency
string,serialized,delimited_values,A;B;C ;; red|blue|green ;; comma-separated list,,character ;; list,declared delimiter ;; valid member values ;; no duplicate members ;; escape-character handling
string,serialized,json,"[""A"",""B""] ;; {""x"":1}",,character ;; list,valid JSON ;; expected schema ;; required keys ;; value-type validation
string,serialized,geometry,POINT(-112.07 33.45) ;; GeoJSON,CRS identifier,character ;; sfc,valid geometry syntax ;; valid coordinate bounds ;; declared CRS ;; geometry-type consistency
string,encoded,binary_content,Base64 ;; hexadecimal,encoding scheme,character ;; raw,valid encoding ;; expected decoded size ;; checksum where available
string,unknown,unclassified_text,unknown text pattern,,character,profile length and characters ;; inspect missing-value tokens ;; defer coercion
string,mixed,mixed_text,labels and numbers ;; multiple incompatible formats,,character,identify dominant patterns ;; flag exceptions ;; do not coerce until resolved
number,discrete,integer,-2 ;; 0 ;; 15,integer units,integer ;; double,whole-number check ;; minimum and maximum ;; missingness rules
number,discrete,count,0 ;; 25 ;; 1042,events ;; persons ;; organizations,integer ;; integer64 ;; double,nonnegative ;; whole-number check ;; plausible maximum ;; zero allowed
number,discrete,frequency,0 ;; 3 ;; 14,occurrences per period,integer ;; integer64,nonnegative ;; whole-number check ;; period consistency ;; plausible maximum
number,discrete,rank,1 ;; 2 ;; 15,rank position,integer,positive integer ;; no impossible ties if unique rank required ;; bounded by group size
number,discrete,score,0 ;; 7 ;; 100,scale points,integer ;; double,allowed range ;; permitted increments ;; scale-direction check
number,discrete,coded_value,1 ;; 2 ;; 9,codebook-defined,integer ;; factor,allowed-values lookup ;; distinguish missing codes ;; do not treat as quantity
number,continuous,decimal,1.25 ;; -0.04 ;; 3.14159,unspecified,double,numeric parse ;; decimal precision ;; minimum and maximum ;; finite-values check
number,continuous,measurement,12.5 ;; 36 ;; 0.25,inches ;; kilograms ;; liters ;; degrees Celsius,double,unit declared ;; plausible range ;; precision ;; nonnegative where applicable
number,continuous,currency,"1234.56 ;; $1,234.56 ;; 1.234,56",USD ;; EUR ;; constant 2025 USD,double ;; integer64 ;; decimal,currency declared ;; locale-aware parsing ;; decimal precision ;; inflation-year consistency
number,continuous,coordinate,33.4484 ;; -112.0740,decimal degrees ;; meters,double,CRS declared ;; latitude/longitude bounds ;; coordinate-pair completeness
number,continuous,probability,0 ;; 0.75 ;; 1,probability 0-1,double,minimum 0 ;; maximum 1 ;; finite-values check
number,continuous,proportion,0.25 ;; 0.873,proportion 0-1,double,minimum 0 ;; maximum 1 ;; denominator definition ;; component consistency
number,continuous,percentage,25 ;; 87.3 ;; 25%,percent 0-100,double,minimum 0 ;; maximum 100 unless change measure ;; percent-sign normalization
number,continuous,ratio,2.4 ;; 0.75 ;; 1:5,numerator/denominator relationship,double,denominator nonzero ;; parsing convention declared ;; plausible range
number,continuous,rate,4.2 ;; 18.6,"per capita ;; per 1,000 ;; per year",double,denominator and exposure declared ;; nonnegative where applicable ;; period consistency
number,continuous,index,-1.25 ;; 50 ;; 102.4,index-specific scale,double,documented construction ;; expected range ;; directionality ;; base-period consistency
number,continuous,standardized_score,-2.1 ;; 0 ;; 1.4,z-score ;; T-score,double,expected center and spread ;; plausible range ;; scale definition
number,continuous,coefficient,-0.23 ;; 1.07,model-specific,double,finite-values check ;; model and scale metadata ;; sign plausibility where defined
number,continuous,estimate,14.7 ;; 102.3,variable-specific,double,finite-values check ;; unit consistency ;; associated uncertainty fields where expected
number,continuous,standard_error,0.04 ;; 2.13,same unit as estimate,double,nonnegative ;; finite-values check ;; paired estimate exists
number,continuous,weight,0.25 ;; 4.7 ;; 125.2,sampling weight ;; analytic weight,double,positive or nonnegative as defined ;; finite-values check ;; normalization documented
number,bounded,rating,1 ;; 3.5 ;; 5,1-5 scale ;; 0-10 scale,integer ;; double,minimum and maximum ;; permitted increments ;; missing codes excluded
