data_type,data_subtype,data_class,data_format,data_unit,data_storage,suggested_validation
number,bounded,likert_score,1 ;; 2 ;; 5,ordered response scale,integer ;; ordered factor,allowed-values list ;; order declared ;; reverse-coded items documented
number,bounded,percentile,0 ;; 50 ;; 99.5,percentile 0-100,double,minimum 0 ;; maximum 100 ;; ranking population declared
number,signed,change,-12 ;; 0 ;; 24,variable-specific units,integer ;; double,sign allowed ;; base and comparison periods declared ;; reconcile with source values
number,signed,difference,-3.4 ;; 0 ;; 8.1,variable-specific units,double,sign allowed ;; operand order declared ;; reconcile with component values
number,signed,growth_rate,-5.2 ;; 0 ;; 12.7,percent per period,double,period declared ;; denominator nonzero ;; outlier and sign checks
number,signed,balance,-1200 ;; 0 ;; 4500,USD ;; units,double ;; integer64,sign allowed ;; unit declared ;; accounting reconciliation where applicable
number,large_integer,count,2147483648 ;; 9000000000,events ;; records,integer64 ;; double ;; character,whole-number check ;; exceed 32-bit threshold check ;; precision-loss check ;; nonnegative
number,large_integer,currency,10000000000,cents ;; dollars,integer64 ;; double ;; decimal,whole-number check if minor units ;; currency declared ;; precision-loss check
number,high_precision,scientific_measurement,0.0000001234 ;; 6.022e23,domain-specific,double ;; arbitrary precision ;; character,significant digits ;; exponent bounds ;; unit declared ;; precision-loss check
number,high_precision,financial_amount,1234.567890,currency units,decimal ;; character ;; double,required decimal precision ;; rounding rule ;; currency declared
number,interval,confidence_interval,"[1.2, 3.8] ;; 1.2-3.8",same unit as estimate,two doubles ;; list ;; character,lower less than or equal to upper ;; confidence level declared ;; paired estimate within interval when expected
number,interval,numeric_range,10-20 ;; 100+,variable-specific,two doubles ;; list ;; character,lower less than or equal to upper ;; open-ended bounds declared ;; unit consistency
number,special,complex_number,2+3i ;; 0-1i,complex plane,complex,valid complex syntax ;; finite real and imaginary components
number,unknown,unclassified_number,numeric but meaning unknown,unknown,double,"profile integerness, range, precision, and missingness ;; defer semantic validation"
number,mixed,mixed_numeric,1 ;; 2.5 ;; $3 ;; N/A,mixed,character ;; double after parsing,identify parse patterns ;; normalize symbols and separators ;; flag nonnumeric exceptions
boolean,logical,indicator,yes/no ;; 1/0 ;; true/false ;; Y/N ;; T/F,binary state,logical ;; integer ;; character,exactly two valid states ;; normalize case ;; distinguish missing from false
boolean,logical,presence,present/absent ;; included/not included ;; 1/0,binary state,logical ;; integer ;; character,exactly two valid states ;; missingness distinct from absence
boolean,logical,eligibility,eligible/ineligible ;; qualified/not qualified,binary state,logical ;; factor ;; character,exactly two valid states ;; rule-based consistency with eligibility criteria
boolean,logical,status,active/inactive ;; open/closed,binary state,logical ;; factor ;; character,exactly two valid states ;; temporal consistency with status dates
boolean,logical,response,yes/no ;; agree/disagree,binary response,logical ;; factor ;; character,exactly two valid responses ;; missing and refusal codes handled separately
boolean,logical,checkbox,X/blank ;; checked/unchecked ;; 1/0,binary state,logical ;; integer ;; character,declared checked token ;; blank interpreted explicitly ;; distinguish blank from missing
categorical,nominal,category,red/blue/green ;; A/B/C ;; numeric labels,unordered levels,factor ;; character ;; integer,allowed-values list ;; unexpected-level check ;; missing codes separated
categorical,ordinal,ordered_category,low/medium/high ;; poor/fair/good/excellent,ordered levels,ordered factor ;; integer ;; character,allowed-values list ;; order declared ;; monotonic coding
categorical,binary,two_group_category,case/control ;; treatment/comparison,two unordered levels,factor ;; character ;; integer,exactly two allowed levels ;; reference level declared
categorical,multiselect,multiple_categories,A;B;C ;; red|blue ;; JSON array,set of levels,character ;; list ;; multiple logical columns,allowed member values ;; delimiter declared ;; no duplicate members ;; cardinality limits
categorical,hierarchical,taxonomy_category,B20 ;; B2 ;; parent/child labels,taxonomy levels,factor ;; character,valid taxonomy node ;; parent-child consistency ;; taxonomy vintage
categorical,geographic,geography,AZ ;; Arizona ;; Maricopa County,geographic levels,factor ;; character,reference-list lookup ;; level declared ;; hierarchy consistency ;; spelling normalization
categorical,classification,classification_code,NAICS 541720 ;; NTEE B20 ;; SOC 19-3099,classification system,character ;; factor,valid code and vintage ;; code-description consistency ;; hierarchy consistency
categorical,missingness,missingness_reason,unknown ;; refused ;; not applicable ;; suppressed,missingness categories,factor ;; character,allowed missingness codes ;; mutually exclusive reasons ;; separate from substantive values
temporal,point,date,2026-07-13 ;; 07/13/2026 ;; 13-Jul-2026,calendar date,Date ;; character,valid calendar date ;; declared order ;; range check ;; no impossible dates
temporal,point,datetime,2026-07-13T14:30:00-07:00 ;; 2026-07-13 14:30:00,timestamp,POSIXct ;; POSIXlt ;; character,valid timestamp ;; timezone declared ;; daylight-saving handling ;; range check
temporal,point,time,14:30 ;; 14:30:15 ;; 2:30 PM,time of day,hms ;; difftime ;; character,valid hour/minute/second ;; 12/24-hour convention ;; timezone if relevant
temporal,period,year,2025 ;; FY2025,calendar or fiscal year,integer ;; character,valid year range ;; fiscal/calendar convention declared
temporal,period,year_month,2025-01 ;; Jan-2025,calendar month,yearmon ;; Date ;; character,valid month ;; declared parsing convention ;; period range
temporal,period,quarter,2025Q1 ;; FY24-Q3,calendar or fiscal quarter,yearqtr ;; character,valid quarter ;; fiscal/calendar convention ;; period range
temporal,period,reporting_period,FY2025 ;; 2025-01-01/2025-12-31,reporting period,character ;; interval ;; two Date columns,start before or equal to end ;; expected duration ;; overlap and gap checks
temporal,duration,elapsed_time,90 seconds ;; 2.5 hours ;; P3D,seconds ;; minutes ;; hours ;; days,difftime ;; double ;; duration,nonnegative where applicable ;; unit declared ;; finite-values check
temporal,interval,date_interval,2025-01-01/2025-12-31 ;; start/end,date interval,interval ;; two Date columns ;; list,start before or equal to end ;; open/closed bounds declared ;; overlap rules
temporal,duration,age,18 years ;; 15 months ;; 540 days,years ;; months ;; days,integer ;; double ;; difftime,nonnegative ;; plausible maximum ;; reference date declared ;; reconcile with birth date
identifier,surrogate,record_id,1 ;; 000001 ;; UUID,identifier,character ;; integer ;; integer64,unique ;; non-missing ;; stable across versions ;; preserve leading zeros
identifier,entity,entity_id,ORG-001 ;; person_123,identifier,character ;; integer64,unique within entity domain ;; non-missing where required ;; stable over time
identifier,relational,foreign_key,parent_id ;; lookup_id,identifier,character ;; integer ;; integer64,referential integrity ;; compatible type with parent key ;; allowed missingness
identifier,composite,composite_key,EIN-year ;; state-county-tract,identifier,character ;; multiple columns,component completeness ;; combined uniqueness ;; delimiter escaping ;; component validation
identifier,geographic,geographic_id,GEOID ;; FIPS ;; ZIP,geographic identifier,character,fixed length ;; preserve leading zeros ;; valid geography vintage ;; hierarchy consistency
identifier,administrative,administrative_id,EIN ;; DUNS ;; permit number,administrative identifier,character,domain-specific pattern ;; checksum where available ;; uniqueness scope ;; preserve leading zeros
identifier,version,version_id,v1.2 ;; revision 3 ;; 20260713,version identifier,character ;; integer,valid version syntax ;; monotonicity where expected ;; uniqueness within object
identifier,hash,hash,MD5 ;; SHA-1 ;; SHA-256,hash digest,character ;; raw,expected length and alphabet ;; algorithm declared ;; checksum verification
structured,collection,list,JSON array ;; delimited members ;; nested values,collection,list ;; character,member schema ;; cardinality limits ;; member-type consistency
structured,multidimensional,array,matrix ;; multidimensional array ;; tensor,dimensions,matrix ;; array ;; list,dimension consistency ;; element-type consistency ;; shape declared
structured,record,object,JSON object ;; nested record,record schema,list ;; data.frame ;; character,required keys ;; field types ;; schema version ;; no unexpected keys where strict
structured,mapping,key_value,key:value ;; dictionary ;; named list,mapping,list ;; character,unique keys ;; allowed keys ;; value-type rules ;; valid delimiter or syntax
structured,spatial,geometry,WKT ;; WKB ;; GeoJSON,CRS identifier,sfc ;; raw ;; character,valid geometry ;; CRS declared ;; geometry-type consistency ;; coordinate bounds
binary,bytes,raw_bytes,binary stream ;; byte sequence,bytes,raw,expected length ;; checksum ;; magic-number or signature validation
binary,encoded,encoded_file,Base64 ;; hexadecimal,encoding scheme,character ;; raw,valid encoding ;; decoded MIME type ;; expected size ;; checksum
binary,media,image,PNG ;; JPEG ;; TIFF,file format,raw ;; external file path,valid file signature ;; dimensions ;; MIME type ;; maximum size
binary,document,document,PDF ;; DOCX ;; XLSX,file format,raw ;; external file path,valid file signature ;; MIME type ;; readable file ;; maximum size
unknown,unclassified,unknown,unknown pattern,,character,retain original values ;; profile candidate types ;; do not coerce automatically
unknown,mixed,mixed_type,"numbers, text, and dates mixed",,character ;; list,identify dominant type ;; flag exceptions ;; split or standardize before coercion
unknown,malformed,parse_failure,corrupted values ;; invalid encoding ;; truncated records,,character ;; raw,retain source text ;; log parse errors ;; quantify failure rate ;; manual review
