"ein","org_name","ntee_program","num_programs","is_501c3","day_of_week","date_mdy","date_dmy","month_abbr","month_ym","hour_ampm","event_ts","rule_year","age_years"
"190102000","Organization B 985","Human Services",6,TRUE,"THU","07-14-2016","14-07-16","JUL","2016-07","2:38am","2016-07-14 22:20:37 MST",1990,36
"824571392","Organization W 652","Environment",1,TRUE,"TUE","11-17-2015","17-11-15","NOV","2015-11","7:05pm","2015-11-17 03:39:53 MST",1999,27
"347204592","Organization H 831","Health",9,FALSE,"THU","03-22-2018","22-03-18","MAR","2018-03","5:51am","2018-03-22 01:05:41 MST",1986,40
"146739486","Organization T 342","Health",12,FALSE,"TUE","01-02-2018","02-01-18","JAN","2018-01","5:27am","2018-01-02 13:17:40 MST",1992,34
"389542352","Organization C 116","Human Services",4,TRUE,"TUE","06-05-2018","05-06-18","JUN","2018-06","8:07am","2018-06-05 00:04:24 MST",1976,50
"272638502","Organization Q 303","Health",7,TRUE,"THU","03-15-2018","15-03-18","MAR","2018-03","4:30pm","2018-03-15 08:19:55 MST",1998,28
"809474895","Organization O 82","Health",5,TRUE,"SUN","09-25-2016","25-09-16","SEP","2016-09","2:25am","2016-09-25 17:43:15 MST",2015,11
"802428411","Organization P 509","Human Services",3,TRUE,"WED","02-18-2015","18-02-15","FEB","2015-02","7:23pm","2015-02-18 10:06:58 MST",1961,65
"451358740","Organization A 935","Health",5,TRUE,"SUN","02-25-2018","25-02-18","FEB","2018-02","1:36pm","2018-02-25 16:55:35 MST",1998,28
"890378858","Organization C 231","Environment",6,TRUE,"SUN","08-19-2018","19-08-18","AUG","2018-08","10:57pm","2018-08-19 00:13:05 MST",1959,67
"514113287","Organization M 930","Education",5,TRUE,"SAT","01-24-2015","24-01-15","JAN","2015-01","3:18am","2015-01-24 10:05:07 MST",1985,41
"490050632","Organization L 236","Environment",7,TRUE,"TUE","12-22-2015","22-12-15","DEC","2015-12","8:19pm","2015-12-22 14:51:28 MST",1986,40
"418122444","Organization O 63","Education",2,FALSE,"SUN","06-14-2015","14-06-15","JUN","2015-06","3:10am","2015-06-14 01:15:12 MST",1972,54
"230318283","Organization U 51","Human Services",9,TRUE,"TUE","09-13-2016","13-09-16","SEP","2016-09","2:26pm","2016-09-13 11:25:38 MST",1993,33
"830035160","Organization F 83","Health",3,TRUE,"SUN","02-14-2016","14-02-16","FEB","2016-02","10:48pm","2016-02-14 13:52:09 MST",1967,59
"847180985","Organization Q 503","Human Services",5,TRUE,"SAT","06-17-2017","17-06-17","JUN","2017-06","12:06pm","2017-06-17 14:42:43 MST",2012,14
"863514918","Organization P 790","Environment",7,TRUE,"MON","08-13-2018","13-08-18","AUG","2018-08","3:55am","2018-08-13 00:02:44 MST",1984,42
"798705168","Organization C 174","Education",8,TRUE,"TUE","08-23-2016","23-08-16","AUG","2016-08","4:41pm","2016-08-23 02:08:58 MST",2008,18
"747190441","Organization G 975","Human Services",1,FALSE,"MON","07-30-2018","30-07-18","JUL","2018-07","6:43am","2018-07-30 21:11:33 MST",1956,70
"390701963","Organization U 606","Environment",3,FALSE,"THU","07-20-2017","20-07-17","JUL","2017-07","10:53pm","2017-07-20 17:54:00 MST",1982,44
"680107547","Organization B 844","Education",5,TRUE,"SAT","09-23-2017","23-09-17","SEP","2017-09","2:03am","2017-09-23 04:58:22 MST",1957,69
"894953021","Organization G 972","Health",2,TRUE,"MON","09-12-2016","12-09-16","SEP","2016-09","8:30pm","2016-09-12 04:34:58 MST",1987,39
"744947970","Organization N 265","Environment",7,TRUE,"SUN","05-20-2018","20-05-18","MAY","2018-05","1:51am","2018-05-20 07:03:25 MST",2001,25
"430193698","Organization Y 866","Environment",5,TRUE,"TUE","05-09-2017","09-05-17","MAY","2017-05","7:34pm","2017-05-09 09:33:41 MST",1983,43
"752146579","Organization M 661","Environment",12,TRUE,"WED","09-16-2015","16-09-15","SEP","2015-09","11:00pm","2015-09-16 09:02:42 MST",1974,52
"265060965","Organization H 566","Arts",1,TRUE,"THU","08-30-2018","30-08-18","AUG","2018-08","11:47pm","2018-08-30 03:01:44 MST",1997,29
"452918105","Organization R 537","Education",5,TRUE,"MON","04-25-2016","25-04-16","APR","2016-04","5:57am","2016-04-25 01:45:46 MST",1963,63
"106643114","Organization G 794","Arts",2,TRUE,"TUE","08-14-2018","14-08-18","AUG","2018-08","2:04am","2018-08-14 03:17:06 MST",2008,18
"238448425","Organization L 887","Education",3,TRUE,"SAT","01-24-2015","24-01-15","JAN","2015-01","5:50pm","2015-01-24 01:18:30 MST",1964,62
"288320957","Organization W 510","Human Services",10,TRUE,"TUE","03-27-2018","27-03-18","MAR","2018-03","5:16am","2018-03-27 08:07:15 MST",1961,65
"462942476","Organization T 241","Environment",2,TRUE,"MON","10-26-2015","26-10-15","OCT","2015-10","10:42pm","2015-10-26 01:24:17 MST",2005,21
"356173496","Organization J 257","Health",10,TRUE,"WED","02-10-2016","10-02-16","FEB","2016-02","1:00am","2016-02-10 15:59:14 MST",1982,44
"467645487","Organization X 207","Human Services",5,TRUE,"TUE","11-10-2015","10-11-15","NOV","2015-11","12:23pm","2015-11-10 22:44:20 MST",1972,54
"419641050","Organization Z 409","Health",8,TRUE,"WED","08-08-2018","08-08-18","AUG","2018-08","2:32am","2018-08-08 18:16:58 MST",1979,47
"726659744","Organization S 902","Health",3,TRUE,"SAT","04-15-2017","15-04-17","APR","2017-04","11:17am","2017-04-15 23:15:32 MST",1998,28
"605402026","Organization T 261","Human Services",9,TRUE,"FRI","09-08-2017","08-09-17","SEP","2017-09","6:02am","2017-09-08 06:32:20 MST",1964,62
"826520032","Organization M 293","Environment",9,TRUE,"TUE","05-26-2015","26-05-15","MAY","2015-05","1:04am","2015-05-26 07:38:10 MST",1963,63
"426545154","Organization O 717","Environment",2,TRUE,"WED","10-03-2018","03-10-18","OCT","2018-10","2:38am","2018-10-03 04:48:57 MST",1973,53
"560762170","Organization R 471","Human Services",9,TRUE,"THU","07-16-2015","16-07-15","JUL","2015-07","7:05pm","2015-07-16 17:58:38 MST",1969,57
"875074582","Organization O 645","Human Services",5,TRUE,"FRI","08-14-2015","14-08-15","AUG","2015-08","2:15pm","2015-08-14 14:04:06 MST",2000,26
"187423277","Organization N 814","Education",10,FALSE,"WED","05-18-2016","18-05-16","MAY","2016-05","12:12am","2016-05-18 00:55:11 MST",2009,17
"328628805","Organization O 608","Arts",4,TRUE,"WED","10-10-2018","10-10-18","OCT","2018-10","3:32am","2018-10-10 19:57:03 MST",1957,69
"771466957","Organization J 572","Education",7,FALSE,"SUN","09-10-2017","10-09-17","SEP","2017-09","4:55am","2017-09-10 11:39:22 MST",1976,50
"432625927","Organization J 895","Education",4,TRUE,"TUE","12-27-2016","27-12-16","DEC","2016-12","10:50pm","2016-12-27 03:25:32 MST",2015,11
"838786211","Organization T 602","Health",7,TRUE,"WED","08-02-2017","02-08-17","AUG","2017-08","9:49am","2017-08-02 23:32:23 MST",1974,52
"752657699","Organization X 399","Human Services",9,TRUE,"FRI","06-22-2018","22-06-18","JUN","2018-06","8:09pm","2018-06-22 07:25:26 MST",1996,30
"495240761","Organization U 154","Health",8,TRUE,"MON","07-10-2017","10-07-17","JUL","2017-07","4:13am","2017-07-10 04:38:02 MST",1988,38
"318538268","Organization F 314","Education",3,TRUE,"SAT","09-17-2016","17-09-16","SEP","2016-09","12:41am","2016-09-17 12:33:01 MST",1977,49
"683984861","Organization F 453","Human Services",10,FALSE,"SAT","09-19-2015","19-09-15","SEP","2015-09","7:54am","2015-09-19 10:05:22 MST",1971,55
"398811322","Organization I 729","Human Services",5,FALSE,"MON","01-25-2016","25-01-16","JAN","2016-01","1:33am","2016-01-25 20:56:38 MST",1972,54
"193370094","Organization F 29","Environment",7,TRUE,"SUN","05-10-2015","10-05-15","MAY","2015-05","8:15am","2015-05-10 05:34:28 MST",1973,53
"406242617","Organization G 361","Environment",10,TRUE,"SAT","10-27-2018","27-10-18","OCT","2018-10","5:59am","2018-10-27 10:04:23 MST",2000,26
"221023954","Organization D 382","Environment",7,TRUE,"MON","10-23-2017","23-10-17","OCT","2017-10","8:40am","2017-10-23 23:16:14 MST",1971,55
"459484280","Organization Z 435","Environment",5,FALSE,"SAT","01-09-2016","09-01-16","JAN","2016-01","2:16am","2016-01-09 15:26:36 MST",1984,42
"170131034","Organization U 754","Human Services",7,TRUE,"THU","11-29-2018","29-11-18","NOV","2018-11","8:01pm","2018-11-29 06:16:27 MST",1964,62
"374452017","Organization A 916","Arts",5,FALSE,"WED","02-08-2017","08-02-17","FEB","2017-02","2:14am","2017-02-08 05:13:32 MST",1991,35
"670496793","Organization Z 551","Human Services",5,TRUE,"WED","10-11-2017","11-10-17","OCT","2017-10","5:22pm","2017-10-11 00:20:58 MST",1999,27
"712875229","Organization C 907","Arts",12,TRUE,"MON","11-28-2016","28-11-16","NOV","2016-11","10:26pm","2016-11-28 19:54:42 MST",2004,22
"105981903","Organization J 24","Education",9,TRUE,"TUE","10-11-2016","11-10-16","OCT","2016-10","12:39pm","2016-10-11 03:11:53 MST",2005,21
"563460566","Organization B 883","Environment",7,TRUE,"MON","02-09-2015","09-02-15","FEB","2015-02","3:02pm","2015-02-09 15:18:51 MST",2005,21
"162341357","Organization Y 76","Health",2,TRUE,"TUE","05-31-2016","31-05-16","MAY","2016-05","10:33pm","2016-05-31 01:40:25 MST",1964,62
"754726372","Organization D 545","Health",11,TRUE,"MON","02-02-2015","02-02-15","FEB","2015-02","2:48pm","2015-02-02 14:48:47 MST",2002,24
"603000267","Organization U 445","Education",9,TRUE,"WED","08-02-2017","02-08-17","AUG","2017-08","2:53pm","2017-08-02 07:30:39 MST",1988,38
"599451677","Organization H 105","Environment",2,TRUE,"MON","04-13-2015","13-04-15","APR","2015-04","2:02am","2015-04-13 13:21:31 MST",2012,14
"761968720","Organization B 373","Arts",9,TRUE,"TUE","06-05-2018","05-06-18","JUN","2018-06","1:42pm","2018-06-05 23:33:46 MST",1958,68
"621596132","Organization L 575","Education",8,TRUE,"SUN","04-19-2015","19-04-15","APR","2015-04","8:57pm","2015-04-19 10:36:22 MST",1979,47
"635137883","Organization L 881","Health",8,TRUE,"THU","09-28-2017","28-09-17","SEP","2017-09","3:36pm","2017-09-28 22:35:06 MST",1980,46
"874176000","Organization V 999","Environment",8,TRUE,"FRI","09-14-2018","14-09-18","SEP","2018-09","8:21pm","2018-09-14 05:21:58 MST",2015,11
"306856145","Organization P 242","Human Services",8,TRUE,"TUE","03-17-2015","17-03-15","MAR","2015-03","4:32pm","2015-03-17 14:50:45 MST",1993,33
"687080436","Organization L 36","Arts",7,TRUE,"WED","09-06-2017","06-09-17","SEP","2017-09","3:02pm","2017-09-06 17:56:26 MST",1987,39
"757647360","Organization O 536","Human Services",9,TRUE,"MON","01-02-2017","02-01-17","JAN","2017-01","2:13pm","2017-01-02 23:51:17 MST",2000,26
"568027434","Organization J 439","Health",4,TRUE,"FRI","01-16-2015","16-01-15","JAN","2015-01","5:37am","2015-01-16 17:17:50 MST",2006,20
"427937890","Organization S 556","Arts",7,TRUE,"FRI","10-12-2018","12-10-18","OCT","2018-10","4:15pm","2018-10-12 07:33:50 MST",1976,50
"378684926","Organization X 691","Arts",6,TRUE,"MON","06-25-2018","25-06-18","JUN","2018-06","3:09pm","2018-06-25 10:07:15 MST",2005,21
"779487703","Organization K 948","Human Services",6,TRUE,"MON","10-02-2017","02-10-17","OCT","2017-10","10:26am","2017-10-02 13:09:16 MST",1998,28
"216157505","Organization G 364","Environment",3,TRUE,"MON","09-10-2018","10-09-18","SEP","2018-09","11:07pm","2018-09-10 03:15:06 MST",1973,53
"839021738","Organization C 27","Health",7,FALSE,"THU","09-14-2017","14-09-17","SEP","2017-09","2:22pm","2017-09-14 02:48:36 MST",1960,66
"716914294","Organization V 522","Health",5,TRUE,"MON","03-23-2015","23-03-15","MAR","2015-03","8:53pm","2015-03-23 22:52:06 MST",1998,28
"328924821","Organization H 667","Human Services",8,FALSE,"SUN","07-02-2017","02-07-17","JUL","2017-07","8:08am","2017-07-02 09:17:19 MST",1979,47
"160743970","Organization Y 32","Health",6,TRUE,"SAT","11-21-2015","21-11-15","NOV","2015-11","10:34pm","2015-11-21 11:27:27 MST",1984,42
"101578358","Organization G 541","Education",4,TRUE,"MON","10-15-2018","15-10-18","OCT","2018-10","2:33pm","2018-10-15 20:10:19 MST",1996,30
"214182948","Organization J 722","Health",8,FALSE,"TUE","08-08-2017","08-08-17","AUG","2017-08","6:37pm","2017-08-08 08:48:35 MST",1993,33
"520128300","Organization S 727","Arts",7,TRUE,"FRI","10-23-2015","23-10-15","OCT","2015-10","4:33pm","2015-10-23 00:18:38 MST",2005,21
"502526638","Organization S 53","Environment",4,TRUE,"FRI","05-29-2015","29-05-15","MAY","2015-05","7:47am","2015-05-29 01:55:42 MST",1979,47
"165910231","Organization C 603","Human Services",5,TRUE,"FRI","09-22-2017","22-09-17","SEP","2017-09","1:29am","2017-09-22 02:05:04 MST",1956,70
"319305442","Organization W 7","Education",12,FALSE,"FRI","04-10-2015","10-04-15","APR","2015-04","12:24am","2015-04-10 14:56:46 MST",1992,34
"716249952","Organization A 202","Arts",6,TRUE,"MON","09-25-2017","25-09-17","SEP","2017-09","7:29pm","2017-09-25 06:47:09 MST",1963,63
"409080296","Organization T 123","Environment",5,TRUE,"SUN","10-25-2015","25-10-15","OCT","2015-10","4:08pm","2015-10-25 04:20:24 MST",2010,16
"400917528","Organization R 470","Human Services",4,TRUE,"SAT","02-06-2016","06-02-16","FEB","2016-02","3:36am","2016-02-06 20:29:05 MST",1965,61
"541495526","Organization C 835","Human Services",8,TRUE,"WED","04-01-2015","01-04-15","APR","2015-04","7:16pm","2015-04-01 15:59:51 MST",1960,66
"218171018","Organization B 46","Health",7,TRUE,"SUN","02-19-2017","19-02-17","FEB","2017-02","9:43pm","2017-02-19 07:03:21 MST",1985,41
"199304106","Organization P 841","Education",8,FALSE,"THU","04-19-2018","19-04-18","APR","2018-04","3:19am","2018-04-19 11:22:16 MST",1959,67
"553264076","Organization Z 689","Health",5,TRUE,"WED","12-13-2017","13-12-17","DEC","2017-12","5:35am","2017-12-13 11:35:44 MST",1968,58
"552639775","Organization G 497","Arts",4,TRUE,"SUN","04-30-2017","30-04-17","APR","2017-04","11:37am","2017-04-30 12:28:49 MST",1996,30
"548052219","Organization A 780","Human Services",1,FALSE,"THU","10-15-2015","15-10-15","OCT","2015-10","11:33pm","2015-10-15 15:47:10 MST",2001,25
"795518244","Organization C 484","Health",8,FALSE,"TUE","12-20-2016","20-12-16","DEC","2016-12","12:02am","2016-12-20 11:38:48 MST",1955,71
"468655002","Organization D 8","Human Services",12,TRUE,"SUN","03-01-2015","01-03-15","MAR","2015-03","1:49pm","2015-03-01 05:10:44 MST",1995,31
"454087849","Organization T 574","Education",1,TRUE,"WED","08-01-2018","01-08-18","AUG","2018-08","2:16am","2018-08-01 09:45:57 MST",1964,62
"461479171","Organization E 521","Environment",8,FALSE,"FRI","04-28-2017","28-04-17","APR","2017-04","4:23pm","2017-04-28 23:06:01 MST",2003,23
"730970310","Organization D 519","Arts",2,TRUE,"SAT","08-26-2017","26-08-17","AUG","2017-08","7:49pm","2017-08-26 12:10:27 MST",1966,60
